2025-02-09 00:01:24.402913 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:24.414716 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.419709 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:24.532730 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.532730 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.532730 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.532730 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.535298 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:24.535734 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.544210 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:24.547096 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.552517 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:24.587881 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.592913 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:24.596502 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.597415 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.597415 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.597415 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.601231 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:24.607584 | 104.18.32.47 -> 192.168.1.5 | TLS | Length: 351
2025-02-09 00:01:24.608114 | 104.18.32.47 -> 192.168.1.5 | TLS | Length: 132
2025-02-09 00:01:24.608133 | 192.168.1.5 -> 104.18.32.47 | TCP | Length: 54
2025-02-09 00:01:24.608962 | 192.168.1.5 -> 104.18.32.47 | TLS | Length: 89
2025-02-09 00:01:24.635922 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.635922 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.642083 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:24.683644 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.690258 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:24.713037 | 104.18.32.47 -> 192.168.1.5 | TCP | Length: 56
2025-02-09 00:01:24.713624 | 104.18.32.47 -> 192.168.1.5 | TCP | Length: 56
2025-02-09 00:01:24.722152 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.723000 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.730813 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:24.731977 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.739066 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:24.791860 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.791860 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.791860 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.794808 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:24.803447 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.803447 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
